,point,Small_Std_TMY_PASSIVE,Small_Std_2070_PASSIVE,Small_Med_TMY_PASSIVE,Small_Med_2070_PASSIVE,Small_High_TMY_PASSIVE,Small_High_2070_PASSIVE
0,"[0.5, 0.5, 0.800000011920929]",18.29,22.33,16.28,20.57,16.4,17.7
1,"[0.5, 1.5, 0.800000011920929]",18.22,22.27,16.21,20.52,16.33,17.66
2,"[0.5, 2.5, 0.800000011920929]",18.27,22.31,16.24,20.54,16.35,17.68
3,"[0.5, 3.5, 0.800000011920929]",18.38,22.38,16.32,20.58,16.41,17.71
4,"[0.5, 4.5, 0.800000011920929]",18.54,22.54,16.41,20.67,16.49,17.75
5,"[1.5, 0.5, 0.800000011920929]",18.21,22.26,16.21,20.51,16.33,17.66
6,"[1.5, 1.5, 0.800000011920929]",18.12,22.2,16.12,20.44,16.25,17.61
7,"[1.5, 2.5, 0.800000011920929]",18.2,22.24,16.18,20.47,16.29,17.63
8,"[1.5, 3.5, 0.800000011920929]",18.55,22.42,16.38,20.56,16.42,17.73
9,"[1.5, 4.5, 0.800000011920929]",22.59,25.24,19.41,21.02,16.94,17.94
10,"[2.5, 0.5, 0.800000011920929]",18.2,22.25,16.2,20.5,16.32,17.65
11,"[2.5, 1.5, 0.800000011920929]",18.11,22.18,16.12,20.44,16.24,17.6
12,"[2.5, 2.5, 0.800000011920929]",18.24,22.25,16.21,20.47,16.3,17.63
13,"[2.5, 3.5, 0.800000011920929]",18.77,22.64,16.6,20.67,16.56,17.76
14,"[2.5, 4.5, 0.800000011920929]",23.73,26.85,20.54,23.28,17.43,18.08
15,"[3.5, 0.5, 0.800000011920929]",18.2,22.25,16.2,20.5,16.32,17.65
16,"[3.5, 1.5, 0.800000011920929]",18.12,22.18,16.12,20.43,16.24,17.6
17,"[3.5, 2.5, 0.800000011920929]",18.57,22.29,16.22,20.47,16.31,17.64
18,"[3.5, 3.5, 0.800000011920929]",19.11,22.64,16.65,20.71,16.58,17.77
19,"[3.5, 4.5, 0.800000011920929]",24.01,26.95,20.48,23.53,17.44,18.09
20,"[4.5, 0.5, 0.800000011920929]",18.22,22.27,16.21,20.51,16.34,17.66
21,"[4.5, 1.5, 0.800000011920929]",18.13,22.2,16.14,20.45,16.26,17.61
22,"[4.5, 2.5, 0.800000011920929]",18.23,22.26,16.21,20.48,16.3,17.64
23,"[4.5, 3.5, 0.800000011920929]",19.0,22.58,16.49,20.63,16.45,17.73
24,"[4.5, 4.5, 0.800000011920929]",22.8,26.38,19.38,22.95,17.02,17.99
25,"[5.5, 0.5, 0.800000011920929]",18.31,22.34,16.29,20.57,16.41,17.71
26,"[5.5, 1.5, 0.800000011920929]",18.25,22.29,16.23,20.52,16.35,17.67
27,"[5.5, 2.5, 0.800000011920929]",19.88,22.36,16.29,20.54,16.38,17.68
28,"[5.5, 3.5, 0.800000011920929]",19.44,22.52,16.39,20.62,16.44,17.72
29,"[5.5, 4.5, 0.800000011920929]",20.41,24.83,17.12,21.26,16.52,17.79
