KEY,thi_hourly_area_mean,thi_hourly_area_median,thi_hourly_area_std,thi_annual_point_mean,thi_annual_point_median,thi_annual_point_std
Small_High_TMY_PASSIVE_mrt,0.7,0.43,1.08,16.5,16.4,0.3
Medium_Med_2070_PASSIVE_mrt,1.94,0.64,2.57,23.4,22.6,1.4
Small_High_2070_PASSIVE_mrt,0.69,0.4,1.09,17.7,17.7,0.1
Small_Med_2070_PASSIVE_mrt,1.41,0.54,1.97,20.8,20.5,0.8
Large_Std_2070_PASSIVE_mrt,2.26,0.86,2.82,23.5,22.4,1.9
Medium_Med_TMY_PASSIVE_mrt,1.94,0.7,2.54,21.7,21.7,1.7
Medium_High_TMY_PASSIVE_mrt,0.9,0.5,1.46,20.1,19.2,1.7
Small_Std_TMY_PASSIVE_mrt,1.58,0.7,2.08,19.2,18.3,1.7
Large_Med_TMY_PASSIVE_mrt,2.07,0.79,2.63,18.8,16.9,2.7
Large_Std_TMY_PASSIVE_mrt,2.27,0.93,2.78,20.7,18.9,2.9
Large_High_2070_PASSIVE_mrt,0.77,0.5,1.12,17.7,17.5,0.5
Small_Std_2070_PASSIVE_mrt,1.58,0.64,2.12,23.0,22.3,1.4
Small_Med_TMY_PASSIVE_mrt,1.43,0.59,1.95,16.8,16.3,1.3
Large_Med_2070_PASSIVE_mrt,2.05,0.72,2.67,21.7,21.0,1.5
Medium_High_2070_PASSIVE_mrt,0.88,0.45,1.47,20.2,19.8,1.3
Medium_Std_2070_PASSIVE_mrt,2.12,0.78,2.7,25.9,24.8,1.8
Large_High_TMY_PASSIVE_mrt,0.8,0.55,1.11,15.7,15.5,0.5
Medium_Std_TMY_PASSIVE_mrt,2.13,0.83,2.68,23.9,23.1,1.8
